exp: x/lambda	exp: y/lambda	theory: x/lambda	theory: y/lambda
0.944078454	-0.009079523	-0.872203813	-0.00012038
0.946629476	-0.007481645	-0.86334685	-0.000123946
0.952791653	-0.006036577	-0.854490031	-0.000127639
0.958313179	-0.011638987	-0.845633362	-0.000131463
0.966805495	-0.012214013	-0.836776848	-0.000135424
0.968468783	-0.011590379	-0.827920497	-0.000139528
0.976359383	-0.007268677	-0.819064314	-0.000143778
0.983200975	-0.009426823	-0.810208309	-0.000148184
0.99812463	-0.008911065	-0.801352485	-0.000152749
1.006584736	-0.008089089	-0.792496855	-0.000157484
1.015108467	-0.004047654	-0.783641422	-0.00016239
1.017981252	-0.009884184	-0.774786198	-0.000167481
1.02379426	-0.008845078	-0.765931191	-0.000172759
1.028702986	-0.012149515	-0.757076409	-0.000178236
1.044554158	-0.007185797	-0.748221864	-0.000183919
1.044506425	-0.013171385	-0.739367565	-0.000189815
1.050645013	-0.010141385	-0.730513523	-0.000195937
1.060923995	-0.013192627	-0.721659746	-0.000202289
1.068291028	-0.009889475	-0.712806253	-0.000208888
1.077380353	-0.007058486	-0.703953049	-0.000215739
1.086409697	-0.013061682	-0.695100152	-0.000222857
1.089517892	-0.014842986	-0.686247573	-0.000230251
1.100946674	-0.011624761	-0.677395325	-0.000237934
1.099416087	-0.011374237	-0.668543429	-0.000245921
1.110014966	-0.010001199	-0.659691893	-0.000254221
1.125885133	-0.009564557	-0.650840738	-0.000262851
1.128024845	-0.007006752	-0.641989981	-0.000271823
1.133836378	-0.007050399	-0.633139636	-0.000281156
1.142768783	-0.005282305	-0.624289726	-0.000290862
1.142855792	-0.007293931	-0.615440272	-0.000300962
1.157190456	-0.011796763	-0.606591291	-0.000311471
1.157562962	-0.006929422	-0.59774281	-0.000322411
1.160615523	-0.008600628	-0.588894844	-0.000333796
1.178385224	-0.008749236	-0.580047428	-0.000345652
1.181806236	-0.010015727	-0.571200576	-0.000357995
1.192220757	-0.008728257	-0.562354326	-0.000370853
1.19928469	-0.003970497	-0.553508696	-0.000384244
1.203016101	-0.005988485	-0.544663718	-0.000398194
1.213953586	-0.008253211	-0.535819434	-0.000412735
1.220339997	-0.008556845	-0.526975855	-0.000427882
1.2260906	-0.006750016	-0.518133037	-0.000443679
1.241011577	-0.009774645	-0.509291	-0.000460139
1.242031564	-0.004660442	-0.500449793	-0.000477308
1.249008574	-0.005913393	-0.491609448	-0.000495208
1.25776817	-0.007133589	-0.48277001	-0.000513879
1.262624898	-0.005709746	-0.473931524	-0.000533355
1.270439436	-0.003492854	-0.465094033	-0.000553672
1.28257209	-0.000656166	-0.456257584	-0.000574874
1.289410158	-0.008477885	-0.447422235	-0.000596996
1.303611174	-0.006547067	-0.438588032	-0.000620088
1.300182388	-0.000610063	-0.429755024	-0.000644184
1.30936459	-0.000415281	-0.42092329	-0.000669346
1.318375139	-0.003513728	-0.412092868	-0.000695605
1.322993955	0.00179668	-0.403263853	-0.000723035
1.325313913	-0.002649951	-0.394436281	-0.000751667
1.337699658	-0.004069169	-0.385610249	-0.000781577
1.350949082	-0.000281397	-0.376785821	-0.000812808
1.354219888	-0.002600371	-0.367963061	-0.000845424
1.357769008	0.001242399	-0.359142071	-0.000879496
1.366844279	-0.004241272	-0.350322921	-0.00091507
1.377512977	-0.006353592	-0.341505714	-0.000952237
1.383248448	0.004337832	-0.332690534	-0.000991045
1.389520648	0.004509584	-0.323877495	-0.001031593
1.401415524	0.004515348	-0.315066647	-0.00107392
1.407809221	0.005617686	-0.306258169	-0.00111814
1.414531603	-0.002429934	-0.297452108	-0.001164289
1.419291106	-0.003378427	-0.288648604	-0.00121248
1.425150448	0.000339905	-0.279847774	-0.001262775
1.434678821	0.000822043	-0.271049719	-0.001315251
1.445911873	0.00170431	-0.262254549	-0.00136999
1.448558596	0.000601762	-0.253462405	-0.001427048
1.461061565	-0.003362963	-0.244673431	-0.001486539
1.465499075	-0.006280585	-0.235887669	-0.001548474
1.469042415	0.000518117	-0.227105331	-0.001612982
1.472977988	0.001619606	-0.218326448	-0.001680043
1.484874743	-0.000105464	-0.209551181	-0.001749763
1.492814142	-0.000884388	-0.200779566	-0.001822116
1.49637059	-9.64E-05	-0.19201176	-0.001897155
1.502641371	-8.00E-05	-0.183247772	-0.001974832
1.514566987	-0.002758758	-0.174487658	-0.002055123
1.521285256	0.003892648	-0.165731436	-0.00213796
1.531238906	-0.001168656	-0.1569791	-0.002223214
1.538059488	-0.002954098	-0.148230608	-0.002310776
1.540367093	-0.005302775	-0.139485804	-0.002400388
1.547173594	3.66E-05	-0.130744617	-0.002491864
1.562157205	-0.002803377	-0.122006736	-0.002584813
1.564953442	-0.007524972	-0.113271984	-0.002678913
1.572357807	8.42E-05	-0.104539931	-0.002773635
1.580688633	-0.003916448	-0.095810181	-0.002868498
1.581576284	-0.003466268	-0.087082182	-0.002962825
1.597802261	0.000169106	-0.078355352	-0.003055949
1.595984095	-0.001061448	-0.069628954	-0.003147057
1.603712204	-0.00018385	-0.060902244	-0.003235308
1.612579389	0.000207793	-0.05217433	-0.00331976
1.621994045	-0.001173707	-0.043444297	-0.003399449
1.630417333	-0.002490358	-0.034711144	-0.003473343
1.637168211	-0.004472193	-0.025973856	-0.003540398
1.644365519	-0.001328939	-0.017231353	-0.003599554
1.657123698	-0.00266238	-0.008482557	-0.003649776
1.662968446	-0.002625374	0.000273654	-0.003690077
1.664570259	-0.002945443	0.009038358	-0.003719504
1.675836715	-0.007522871	0.017812281	-0.003736828
1.676661235	-0.007946791	0.026596732	-0.00374151
1.683716553	-0.005946237	0.035392573	-0.003732721
