exp: x/lambda	exp: y/lambda	exp: z/lambda	theory: x/lambda	theory: y/lambda	theory: z/lambda
0.577113013	0.00271843	0.029480765	-1.054055613	-4.09E-05	0.033341797
0.585566901	0.002946649	0.029489099	-1.04476353	-4.20E-05	0.03334209
0.590795167	0.004938312	0.029787051	-1.035471496	-4.31E-05	0.033342395
0.60278205	0.003256311	0.030985033	-1.026179515	-4.43E-05	0.033342715
0.609693353	0.000458545	0.032176325	-1.01688756	-4.55E-05	0.033343045
0.61709048	0.002415771	0.033451358	-1.00759567	-4.68E-05	0.033343392
0.625896639	0.002424397	0.031475695	-0.998303806	-4.81E-05	0.033343749
0.635228438	0.000776431	0.030449463	-0.989012015	-4.95E-05	0.033344126
0.641389608	0.000196596	0.032658802	-0.979720263	-5.08E-05	0.033344515
0.648111629	0.000807941	0.033232833	-0.970428582	-5.23E-05	0.033344925
0.657939769	0.00039047	0.032010374	-0.96113691	-5.38E-05	0.033345345
0.664399652	-0.002004829	0.031206871	-0.951845338	-5.53E-05	0.033345789
0.673201085	-1.52E-05	0.031357527	-0.942553791	-5.69E-05	0.033346247
0.682310968	1.59E-05	0.03021345	-0.93326234	-5.85E-05	0.03334673
0.689019123	-0.000268446	0.028627335	-0.923970925	-6.02E-05	0.033347229
0.697661729	-6.20828E-05	0.028410324	-0.914679597	-6.20E-05	0.033347754
0.706853736	0.000297132	0.029375678	-0.905388336	-6.38E-05	0.033348298
0.714241513	6.93435E-05	0.028412834	-0.896097165	-6.56E-05	0.033348872
0.722909589	0.000217512	0.027171844	-0.886806013	-6.76E-05	0.033349463
0.730182952	0.000411956	0.027190993	-0.877514993	-6.96E-05	0.033350088
0.740207822	0.000147623	0.027217385	-0.868224029	-7.16E-05	0.033350737
0.746337674	-0.001289547	0.027477908	-0.85893315	-7.38E-05	0.033351417
0.756261711	-0.001245788	0.028200148	-0.849642404	-7.61E-05	0.033352135
0.763892674	-0.002143762	0.028476624	-0.840351689	-7.84E-05	0.033352876
