exp: a=1.6 x/lambda	exp: a=1.6 y/lambda	exp: a=2.0 x/lambda	exp: a=2.0 y/lambda	theory: x/lambda	theory: y/lambda
1.322333447	0.004633301	1.714619675	0.003726898	2.85211357	-0.005698159
1.326728168	0.00275661	1.719710048	0.002802628	2.861746298	-0.006020414
1.331434003	0.003114064	1.724413829	0.002992949	2.871358711	-0.006329945
1.33334923	0.004937249	1.733275448	0.001680708	2.880951618	-0.006625694
1.341997829	0.003593113	1.73654257	0.002912981	2.890526315	-0.00690667
1.344048548	0.003896031	1.743136809	0.003711243	2.900084516	-0.007171949
1.348942961	0.005526902	1.74859022	0.001919542	2.90962829	-0.007420674
1.355279591	0.006297881	1.7544313	0.00190783	2.919159988	-0.007652061
1.358430261	0.005649689	1.758632793	0.001567211	2.928682165	-0.007865396
1.363192782	0.005509535	1.765324771	-0.000909361	2.93819752	-0.008060039
1.367272409	0.005426146	1.770066748	0.002284973	2.947624945	-0.008224811
1.370586112	0.00383609	1.776237225	0.000721969	2.957036537	-0.008370829
1.375712238	0.003968178	1.781490033	-0.000294965	2.966434998	-0.008497826
1.378320779	0.007482292	1.788701301	0.000151277	2.975822985	-0.008605607
1.384979233	0.003919723	1.793248711	-0.000501934	2.985203067	-0.008694045
1.38817116	0.006448032	1.800646846	-0.000346351	2.994577697	-0.008763083
1.394126533	0.00547464	1.804857158	-0.000572292	3.00394919	-0.008812727
1.396026732	0.006303423	1.809738713	-0.000175031	3.013319702	-0.008843044
1.401198103	0.005598081	1.817041018	-0.001042114	3.022691219	-0.008854166
1.405976324	0.005787214	1.822317738	-0.000277516	3.03206555	-0.008846279
1.40893267	0.005469175	1.828063276	-0.00148615	3.041444319	-0.008819629
1.416391985	0.005230676	1.833745013	-0.000411054	3.050828968	-0.008774515
1.418685445	0.007428573	1.837778376	-0.002483909	3.060220757	-0.00871129
1.423509272	0.005039414	1.84598972	-3.72E-05	3.069620764	-0.008630357
1.429027614	0.008270597	1.851382137	-0.002420326	3.079029895	-0.008532169
1.431849935	0.004998009	1.85560723	-0.001783458	3.088448885	-0.008417226
1.436608829	0.007500705	1.863008704	-0.002397838	3.097878308	-0.008286074
1.441436581	0.005102607	1.867123833	-0.002159146	3.107318582	-0.008139303
1.445067236	0.007212304	1.872835246	-0.002611591	3.116769981	-0.007977542
1.451458643	0.007677327	1.877446918	-0.003617606	3.126232638	-0.007801465
1.452690153	0.005096092	1.884350431	-0.002555868	3.135706558	-0.007611779
1.458765285	0.006375997	1.890353346	-0.000777251	3.145191623	-0.00740923
1.461626378	0.007593968	1.897239613	-0.002811412	3.154687603	-0.007194598
1.466420435	0.00747591	1.90182113	-0.00104868	3.164194165	-0.006968691
1.471187048	0.007397146	1.90625859	-0.001722288	3.173710877	-0.006732352
1.475882856	0.007562698	1.913392384	-0.002862289	3.183237224	-0.006486447
1.480997157	0.00497997	1.918301002	-0.003403325	3.192772609	-0.00623187
1.485708618	0.007515334	1.924584666	-0.003977078	3.202316364	-0.005969537
1.48972729	0.00793998	1.930023516	-0.000780659	3.211867759	-0.005700383
1.493616023	0.008868954	1.934747428	-0.002891122	3.221426009	-0.005425363
1.495533164	0.009837432	1.941690274	-0.002023225	3.230990282	-0.005145445
1.502956469	0.007315118	1.946567879	-0.00292451	3.240559706	-0.004861614
1.505287491	0.007218667	1.954267211	-0.002950934	3.250133378	-0.004574861
1.511722402	0.007492069	1.958414674	-0.005068434	3.25971037	-0.004286189
1.515054652	0.007093608	1.963901193	-0.003103628	3.269289737	-0.003996602
1.517930028	0.007180828	1.967758239	-0.003583835	3.278870526	-0.003707111
1.524913253	0.00724303	1.975330284	-0.003050541	3.288451781	-0.003418724
1.52499437	0.007221923	1.981356684	-0.003095044	3.298032553	-0.003132447
1.532014884	0.007268965	1.986028801	-0.0024796	3.307611902	-0.002849282
1.537511783	0.008040096	1.992847375	-0.002646572	3.317188913	-0.002570221
1.540679221	0.005125384	1.998841842	-0.003204111	3.326762697	-0.002296249
1.547073077	0.006446063	2.000873152	-0.003427105	3.336332398	-0.002028334
1.549558953	0.006889055	2.010470373	-0.004103865	3.345897206	-0.001767431
1.554293722	0.007530091	2.015919393	-0.002406698	3.355456359	-0.001514476
1.560747489	0.005498057	2.021372108	-0.002597801	3.365009153	-0.001270384
1.564691877	0.004720516	2.025684703	-0.003320916	3.374554951	-0.001036048
1.566918842	0.007141634	2.033170203	-0.004391728	3.384093188	-0.000812333
1.572249273	0.007236061	2.039361962	-0.003079232	3.393623379	-0.000600079
1.575263541	0.004886158	2.044214224	-0.004631649	3.403145131	-0.000400095
1.580685996	0.005142643	2.0495278	-0.003015407	3.412658146	-0.000213156
1.581999244	0.003328637	2.055135273	-0.003409004	3.42216223	-4.00E-05
1.588837171	0.006923781	2.060386652	-0.001808014	3.431657303	0.000118658
1.593617336	0.00440073	2.067830298	-0.001984657	3.441143405	0.000262164
1.598495108	0.007388646	2.07180313	-0.002879868	3.450620703	0.000389889
1.60362109	0.006974869	2.077214888	-0.003845902	3.460089502	0.000501252
1.605886732	0.00752357	2.085588518	-0.001620671	3.469550247	0.000595718
1.612059945	0.007483251	2.089249377	-0.001626637	3.479003534	0.000672798
1.614949691	0.004949844	2.096545182	-0.004252935	3.488450111	0.000732051
1.617667265	0.005284058	2.101675986	-0.003569057	3.497890889	0.000773089
